week,open,high,low,close,source_rows,bad,first_date,last_date,valid_hlc,valid_ohlc,segment
2021-03-19,12950,13298,12681.75,12825.5,6824,0,2021-03-14T22:00:00Z,2021-03-19T20:59:00Z,True,True,fixed
2021-03-26,12807,13172,12609.75,12959,6824,0,2021-03-21T22:00:00Z,2021-03-26T20:59:00Z,True,True,fixed
2021-04-02,12975.75,13393,12776.5,13344.25,6369,0,2021-03-28T22:00:00Z,2021-04-02T13:14:00Z,True,True,fixed
2021-04-09,13339,13841.75,13304.25,13811,6825,0,2021-04-04T22:00:00Z,2021-04-09T20:59:00Z,True,True,fixed
2021-04-16,13817.75,14059.5,13732,14024,6825,0,2021-04-11T22:00:00Z,2021-04-16T20:59:00Z,True,True,fixed
2021-04-23,13989,14052.25,13700.5,13903.5,6825,0,2021-04-18T22:00:00Z,2021-04-23T20:59:00Z,True,True,fixed
2021-04-30,13919.75,14064,13818.5,13865.25,6825,0,2021-04-25T22:00:00Z,2021-04-30T20:59:00Z,True,True,fixed
2021-05-07,13880.25,13947.5,13380.75,13715.5,6824,0,2021-05-02T22:00:00Z,2021-05-07T20:59:00Z,True,True,fixed
2021-05-14,13718,13752,12915,13398,6825,0,2021-05-09T22:00:00Z,2021-05-14T20:59:00Z,True,True,fixed
2021-05-21,13380.25,13570,12954.25,13414,6824,0,2021-05-16T22:00:00Z,2021-05-21T20:59:00Z,True,True,fixed
2021-05-28,13383.25,13763.5,13356.5,13686.5,6825,0,2021-05-23T22:00:00Z,2021-05-28T20:59:00Z,True,True,fixed
2021-06-04,13699,13783.75,13462.25,13763.25,6595,0,2021-05-30T22:00:00Z,2021-06-04T20:59:00Z,True,True,fixed
2021-06-11,13773.25,13997.75,13691.5,13992.75,6824,0,2021-06-06T22:00:00Z,2021-06-11T20:59:00Z,True,True,fixed
2021-06-18,13999,14204.75,13830.25,14017.75,6811,0,2021-06-13T22:00:00Z,2021-06-18T20:59:00Z,True,True,fixed
2021-06-25,14022.75,14422,13958.5,14331,6824,0,2021-06-20T22:00:00Z,2021-06-25T20:59:00Z,True,True,fixed
2021-07-02,14350,14729,14333.25,14701,6900,0,2021-06-27T22:00:00Z,2021-07-02T20:59:00Z,True,True,fixed
2021-07-09,14704.25,14883.75,14540.5,14814.25,6660,0,2021-07-04T22:00:00Z,2021-07-09T20:59:00Z,True,True,fixed
2021-07-16,14824,14996,14656,14668.5,6898,0,2021-07-11T22:00:00Z,2021-07-16T20:59:00Z,True,True,fixed
2021-07-23,14675,15117.25,14445,15091.25,6900,0,2021-07-18T22:00:00Z,2021-07-23T20:59:00Z,True,True,fixed
2021-07-30,15098,15134,14774.25,14966.5,6898,0,2021-07-25T22:00:00Z,2021-07-30T20:59:00Z,True,True,fixed
2021-08-06,14972.75,15172.5,14849,15092.75,6900,0,2021-08-01T22:00:00Z,2021-08-06T20:59:00Z,True,True,fixed
2021-08-13,15090.25,15157.25,14941.25,15122,6899,0,2021-08-08T22:00:00Z,2021-08-13T20:59:00Z,True,True,fixed
2021-08-20,15119.25,15139,14710.5,15095,6900,0,2021-08-15T22:00:00Z,2021-08-20T20:59:00Z,True,True,fixed
2021-08-27,15090,15443.75,15086.5,15428.25,6900,0,2021-08-22T22:00:00Z,2021-08-27T20:59:00Z,True,True,fixed
2021-09-03,15432.75,15699,15420,15655,6900,0,2021-08-29T22:00:00Z,2021-09-03T20:59:00Z,True,True,fixed
2021-09-10,15656,15708.75,15433.5,15447.75,6654,0,2021-09-05T22:00:00Z,2021-09-10T20:59:00Z,True,True,fixed
2021-09-17,15452.5,15565,15276.25,15282.75,6892,0,2021-09-12T22:00:00Z,2021-09-17T20:59:00Z,True,True,fixed
2021-09-24,15284,15347,14807.5,15319,6900,0,2021-09-19T22:00:00Z,2021-09-24T20:59:00Z,True,True,fixed
2021-10-01,15319,15399.25,14537,14777.25,6900,0,2021-09-26T22:00:00Z,2021-10-01T20:59:00Z,True,True,fixed
2021-10-08,14785,15001.25,14367.75,14805.5,6900,0,2021-10-03T22:00:00Z,2021-10-08T20:59:00Z,True,True,fixed
2021-10-15,14810.25,15145,14585.5,15144.25,6899,0,2021-10-10T22:00:00Z,2021-10-15T20:59:00Z,True,True,fixed
2021-10-22,15145,15483.75,15038.75,15324,6900,0,2021-10-17T22:00:00Z,2021-10-22T20:59:00Z,True,True,fixed
2021-10-29,15324.25,15864.75,15295.75,15864,6900,0,2021-10-24T22:00:00Z,2021-10-29T20:59:00Z,True,True,fixed
2021-11-05,15885.25,16448.5,15768.5,16344.75,6899,0,2021-10-31T22:00:00Z,2021-11-05T20:59:00Z,True,True,fixed
2021-11-12,16293,16394,15896.5,16200,6899,0,2021-11-07T23:00:00Z,2021-11-12T21:59:00Z,True,True,fixed
2021-11-19,16212.25,16628.5,16082.25,16588.25,6900,0,2021-11-14T23:00:00Z,2021-11-19T21:59:00Z,True,True,fixed
2021-11-26,16600.25,16767.5,15988,16043.5,6435,0,2021-11-21T23:00:00Z,2021-11-26T18:14:00Z,True,True,fixed
2021-12-03,16046.5,16456.25,15538,15687.5,6900,0,2021-11-28T23:00:00Z,2021-12-03T21:59:00Z,True,True,fixed
2021-12-10,15716.25,16436.75,15559.25,16322.5,6898,0,2021-12-05T23:00:00Z,2021-12-10T21:59:00Z,True,True,fixed
2021-12-17,16321.75,16457,15651.75,15828.5,6897,0,2021-12-12T23:00:00Z,2021-12-17T21:59:00Z,True,True,fixed
2021-12-24,15809.5,16356,15492,16303,5518,0,2021-12-19T23:00:00Z,2021-12-23T21:59:00Z,False,False,fixed
2021-12-31,16304.25,16659.5,16304.25,16331.5,6900,0,2021-12-26T23:00:00Z,2021-12-31T21:59:00Z,True,True,fixed
2022-01-07,16356,16564,15510,15570.25,6898,0,2022-01-02T23:00:00Z,2022-01-07T21:59:00Z,True,True,fixed
2022-01-14,15590,16009.25,15152.5,15616.75,6900,0,2022-01-09T23:00:00Z,2022-01-14T21:59:00Z,True,True,fixed
2022-01-21,15616.75,15653.25,14408.5,14411,6660,0,2022-01-16T23:00:00Z,2022-01-21T21:59:00Z,True,True,fixed
2022-01-28,14410,14639.75,13706,14430.25,6900,0,2022-01-23T23:00:00Z,2022-01-28T21:59:00Z,True,True,fixed
2022-02-04,14454,15260,14353.25,14645,6900,0,2022-01-30T23:00:00Z,2022-02-04T21:59:00Z,True,True,fixed
2022-02-11,14682.5,15068,14181,14256.75,6900,0,2022-02-06T23:00:00Z,2022-02-11T21:59:00Z,True,True,fixed
2022-02-18,14250,14668.5,13906.25,13993.75,6899,0,2022-02-13T23:00:00Z,2022-02-18T21:59:00Z,True,True,fixed
2022-02-25,13952.75,14196.25,13025.75,14187.75,6660,0,2022-02-20T23:00:00Z,2022-02-25T21:59:00Z,True,True,fixed
