asset,rule,direction,era,n,mean,excess
MATSUI_ADJ,sweep_1,1,2010,86,0.014392974723258201,0.0023924545358788773
MATSUI_ADJ,sweep_1,1,2020,57,0.011490377996994341,-0.0013306611761223699
MATSUI_ADJ,fvg_disp,-1,2000,29,-0.025772331819876808,-0.0190257272898922
MATSUI_ADJ,fvg_disp,-1,2010,35,-0.040663591372417526,-0.028663071185038209
MATSUI_ADJ,fvg_disp,-1,2020,17,-0.030415617645870544,-0.017594578472753836
MATSUI_ADJ,sweep_fvg,-1,2000,11,-0.036912080476530634,-0.030165475946546037
MATSUI_ADJ,sweep_fvg,-1,2010,7,-0.01498398357516376,-0.002983463387784433
MATSUI_ADJ,sweep_fvg,-1,2020,8,0.011780476658585934,0.024601515831702642
MATSUI_ADJ,fvg_disp,1,2000,30,0.0050458041913197952,-0.001700800338664806
MATSUI_ADJ,fvg_disp,1,2010,29,-0.0088029110153983979,-0.020803431202777722
MATSUI_ADJ,fvg_disp,1,2020,23,0.0031867480712241959,-0.0096342911018925115
MATSUI_ADJ,sweep_fvg,1,2000,6,0.045762643061907783,0.039016038531923182
MATSUI_ADJ,sweep_fvg,1,2010,7,0.04244341320275434,0.030442893015375012
MATSUI_ADJ,sweep_fvg,1,2020,12,-0.015119536293842134,-0.027940575466958845
SUMITOMO,sweep_1,1,2000,76,0.017476023426660936,-0.0028544108339622152
SUMITOMO,sweep_1,1,2010,61,0.021161028069795359,0.013882904079143856
SUMITOMO,sweep_1,1,2020,42,-0.0050764195008584593,-0.02484515836194073
SUMITOMO,sweep_1,-1,2000,80,-0.015263787253064029,0.0050666470075591248
SUMITOMO,sweep_1,-1,2010,97,0.004839718818320681,0.012117842808972186
SUMITOMO,sweep_1,-1,2020,52,-0.0077485441395270206,0.012020194721555253
SUMITOMO,fvg_disp,1,2000,46,0.028828268971984664,0.0084978347113615071
SUMITOMO,fvg_disp,1,2010,51,-0.0098359930620759567,-0.017114117052727459
SUMITOMO,fvg_disp,1,2020,30,0.051476443680775683,0.031707704819693414
SUMITOMO,sweep_fvg,1,2000,10,0.062971315205526679,0.042640880944903529
SUMITOMO,sweep_fvg,1,2010,8,0.010589381207158244,0.0033112572165067411
SUMITOMO,sweep_fvg,1,2020,5,0.0056692509321483175,-0.014099487928933957
SUMITOMO,fvg_disp,-1,2000,47,-0.011970232974653792,0.0083602012859693587
SUMITOMO,fvg_disp,-1,2010,31,-0.036427171376792279,-0.02914904738614077
SUMITOMO,fvg_disp,-1,2020,23,-0.033225442951018237,-0.013456704089935965
SUMITOMO,sweep_fvg,-1,2000,23,0.016818314556396197,0.037148748817019357
SUMITOMO,sweep_fvg,-1,2010,11,-0.028592985629348967,-0.021314861638697464
SUMITOMO,sweep_fvg,-1,2020,12,0.020714486529231319,0.040483225390313592
SUMITOMO_ADJ,sweep_1,1,2000,75,0.023786535633869121,0.0025249633965214193
SUMITOMO_ADJ,sweep_1,1,2010,62,0.022270217808795189,0.013215899267827244
SUMITOMO_ADJ,sweep_1,1,2020,42,-0.0021006266534026384,-0.024534549668757805
SUMITOMO_ADJ,sweep_1,-1,2000,82,-0.014087923560754121,0.0071736486765935819
SUMITOMO_ADJ,sweep_1,-1,2010,98,0.0011983682429178453,0.010252686783885787
SUMITOMO_ADJ,sweep_1,-1,2020,53,-0.012182388556683497,0.01025153445867167
SUMITOMO_ADJ,fvg_disp,1,2000,44,0.029063152653292137,0.0078015804159444332
SUMITOMO_ADJ,fvg_disp,1,2010,52,-0.0086104552470336135,-0.017664773788001555
SUMITOMO_ADJ,fvg_disp,1,2020,33,0.04898086553829601,0.026546942522940837
SUMITOMO_ADJ,sweep_fvg,1,2000,10,0.054062127276015025,0.032800555038667321
SUMITOMO_ADJ,sweep_fvg,1,2010,9,0.0079594371355518178,-0.0010948814054161241
SUMITOMO_ADJ,sweep_fvg,1,2020,5,0.0056692096572322544,-0.016764713358122914
SUMITOMO_ADJ,fvg_disp,-1,2000,46,-0.013676512091986906,0.0075850601453607966
SUMITOMO_ADJ,fvg_disp,-1,2010,28,-0.040210142487987044,-0.031155823947019101
SUMITOMO_ADJ,fvg_disp,-1,2020,23,-0.036950423245648505,-0.014516500230293329
SUMITOMO_ADJ,sweep_fvg,-1,2000,23,0.0076205934883212499,0.028882165725668953
SUMITOMO_ADJ,sweep_fvg,-1,2010,10,-0.024273764251599737,-0.015219445710631798
SUMITOMO_ADJ,sweep_fvg,-1,2020,12,0.019339465365819809,0.041773388381174982
BNY,sweep_1,1,1970,24,0.012008450840865248,0.0095081699465840181
BNY,sweep_1,1,1980,51,-0.0012206901087118654,-0.01291092589286981
BNY,sweep_1,1,1990,67,0.021438196521362158,0.0016591370443333605
BNY,sweep_1,1,2000,84,-0.0033183315069027471,-0.0046475686344855513
BNY,sweep_1,1,2010,74,0.011956546594185312,0.005984322931208483
BNY,sweep_1,1,2020,48,0.018473854826170234,0.0013580581965238721
